manufacturer_id|group_hex|modality|name|description
1|0x0009|MR|GEMS_IDEN_01|GEMS_IDEN_01
1|0x0011|MR|GEMS_PATI_01|GEMS_PATI_01
1|0x0019|MR|GEMS_ACQU_01|Acquisition Parameters
1|0x0021|MR|GEMS_RELA_01|GEMS_RELA_01
1|0x0023|MR|GEMS_STDY_01|GEMS_STDY_01
1|0x0025|MR|GEMS_SERS_01|GEMS_SERS_01
1|0x0027|MR|GEMS_IMAG_01|GEMS_IMAG_01
1|0x0029|MR|GEMS_IMPS_01|GEMS_IMPS_01
1|0x0039|MR|GEMS_0039|GEMS_0039
1|0x0043|MR|GEMS_PARM_01|GEMS_PARM_01
1|0x0051|MR|GEMS_FUNCTOOL_01|GEMS_FUNCTOOL_01
1|0x2001|MR|BrainWave: 1.2.840.113819.3|BrainWave: 1.2.840.113819.3
1|0x7001|MR|GEMS_MR_RAW_01|GEMS_MR_RAW_01
1|0x0009|CT|GE_YMS_NJ001|GE_YMS_NJ001
1|0x0019|CT|GE_YMS_NJ001|GE_YMS_NJ001
1|0x0027|CT|GE_YMS_NJ001|GE_YMS_NJ001
1|0x0043|CT|GE_YMS_NJ001|GE_YMS_NJ001
1|0x004B|CT|GE_YMS_NJ001|GE_YMS_NJ001
1|0x0029|CT|GEMS_CT_FLRO_01|GEMS_CT_FLRO_01
1|0x0043|CT|GEMS_PARM_01|GEMS_PARM_01
1|0x0045|CT|GEMS_HELIOS_01|GEMS_HELIOS_01
1|0x0049|CT|GEMS_CT_CARDIAC_001|GEMS_CT_CARDIAC_001
1|0x004b|CT|GEMS_HINO_CT_01|GEMS_HINO_CT_01
1|0x0053|CT|GEHC_CT_ADVAPP_001|GEHC_CT_ADVAPP_001
1|0x0091|CT|GEMS_PETD_01|GEMS_PETD_01
1|0x0009|PT|GEMS_PETD_01|GEMS_PETD_01
1|0x0011|PT|GEMS_PETD_01|GEMS_PETD_01
1|0x0013|PT|GEMS_PETD_01|GEMS_PETD_01
3|0x0029|MR|SIEMENS CSA NON-IMAGE|SIEMENS CSA NON-IMAGE
3|0x0029|MR|SIEMENS CSA HEADER|SIEMENS CSA HEADER
3|0x0019|MR|SIEMENS CT VA0  COAD|SIEMENS CT VA0  COAD
3|0x0029|MR|SIEMENS CSA REPORT|SIEMENS CSA REPORT
3|0x0029|MR|SIEMENS CSA ENVELOPE|SIEMENS CSA ENVELOPE
3|0x0029|MR|SIEMENS MEDCOM HEADER|SIEMENS MEDCOM HEADER
3|0x0029|MR|SIEMENS MEDCOM HEADER2|SIEMENS MEDCOM HEADER2
3|0x0029|MR|SIEMENS MEDCOM OOG|SIEMENS MEDCOM OOG
3|0x0021|CT|SIEMENS MED|SIEMENS MED
3|0x0071|PT|SIEMENS MED PT|SIEMENS MED PT
3|0x0071|PT|SIEMENS MED PT WAVEFORM|SIEMENS MED PT WAVEFORM
2|0x0019|NM|ADAC_IMG|ADAC_IMG
2|0x2001|MR|Philips Imaging DD 001|Philips Imaging DD 001
2|0x2005|MR|Philips MR Imaging DD 001|Philips MR Imaging DD 001
2|0x00E1|CT|ELSCINT1|ELSCINT1
2|0x00E1|PT|ELSCINT1|ELSCINT1
2|0x01E1|PT|ELSCINT1|ELSCINT1
2|0x01F1|PT|ELSCINT1|ELSCINT1
2|0x7053|PT|Philips PET Private Group|Philips PET Private Group
6|0x0013|MR|CTP|CTP
6|0x0013|CT|CTP|CTP
8|0x0009|CR|FDMS 1.0|FDMS 1.0
8|0x0019|CR|FDMS 1.0|FDMS 1.0
8|0x0021|CR|FDMS 1.0|FDMS 1.0
8|0x0025|CR|FDMS 1.0|FDMS 1.0
8|0x0029|CR|FDMS 1.0|FDMS 1.0
8|0x50f1|CR|FDMS 1.0|FDMS 1.0
4|0x7005|CT|TOSHIBA_MEC_CT3|TOSHIBA_MEC_CT3
4|0x700D|MR|TOSHIBA_MEC_MR3|TOSHIBA_MEC_MR3
5|0x0009|MR|MMCPRIVATE|MMCPRIVATE
5|0x0011|MR|MMCPRIVATE|MMCPRIVATE
5|0x0019|MR|MMCPRIVATE|MMCPRIVATE
5|0x0029|MR|MMCPRIVATE|MMCPRIVATE
5|0x0041|MR|MMCPRIVATE|MMCPRIVATE
5|0x0071|MR|MMCPRIVATE|MMCPRIVATE
